ForensiQ Digital Investigation Report

REPORT INFORMATION
Field,Value
Report ID,15
Generated On,2026-07-21 11:55:55
Report Format,CSV
Generated By,ForensiQ Digital Forensics Platform

CASE INFORMATION
Field,Value
Case Name,whatsapp fraud
Investigator,Nancy Singh
Case Type,Social Media
Priority,High
Status,Open
Description,"A major ""Boss Scam"" hit an Indian firm, resulting in a ₹10.4 crore loss after an employee followed fake orders sent over WhatsApp. Fraudsters impersonated the company's senior executives, directing staff to transfer immediate funds for ""regulatory requirements."" The ruse was only discovered when the worker contacted the executives directly."

EVIDENCE INFORMATION
Field,Value
Filename,msgstore.db
File Path,uploads\msgstore.db
File Type,application/octet-stream
File Size,24576
SHA-256,53a4d694b9a5159f9aca62b5e5e2d0f9b59404ae5e23c8bff915c11136c175d2
Integrity,VERIFIED

FORENSIC ANALYSIS
Parameter,Value
Hash Verification,PASSED
Evidence Integrity,Verified
Chain of Custody,Maintained

ANALYZER OUTPUT

FILE_NAME,
file_name,msgstore.db

FILE_TYPE,
file_type,SQLite Database

ANALYSIS,
file_size_kb,24.0
sha256,53a4d694b9a5159f9aca62b5e5e2d0f9b59404ae5e23c8bff915c11136c175d2
created_time,1784131592.0025072
modified_time,1784573650.4014988

DATABASE,
database_name,msgstore.db
sqlite_version,3.45.1
total_tables,5
tables,5 records
tables #1,"{""table_name"": ""chat"", ""rows"": 3}"
tables #2,"{""table_name"": ""jid"", ""rows"": 3}"
tables #3,"{""table_name"": ""message"", ""rows"": 9}"
tables #4,"{""table_name"": ""message_quoted"", ""rows"": 1}"
tables #5,"{""table_name"": ""sqlite_sequence"", ""rows"": 4}"

WHATSAPP_DETAILS,
total_chats,3
total_messages,9
total_contacts,2
chat_list,3 records
chat_list #1,"{""chat_id"": 1, ""jid"": ""5551234567@s.whatsapp.net""}"
chat_list #2,"{""chat_id"": 2, ""jid"": ""5559876543@s.whatsapp.net""}"
chat_list #3,"{""chat_id"": 3, ""jid"": ""123456789@g.us""}"
messages,9 records
messages #1,"{""chat_id"": 2, ""from_me"": true, ""text"": ""Did you see the game last night?"", ""timestamp"": ""13-05-2024 14:16""}"
messages #2,"{""chat_id"": 2, ""from_me"": false, ""text"": ""No I missed it! Who won?"", ""timestamp"": ""13-05-2024 15:40""}"
messages #3,"{""chat_id"": 2, ""from_me"": true, ""text"": ""It was a tie 😅"", ""timestamp"": ""13-05-2024 15:41""}"
messages #4,"{""chat_id"": 1, ""from_me"": false, ""text"": ""Hey! Are you free for coffee?"", ""timestamp"": ""14-05-2024 18:03""}"
messages #5,"{""chat_id"": 1, ""from_me"": true, ""text"": ""Yeah, sure! What time?"", ""timestamp"": ""14-05-2024 18:05""}"
messages #6,"{""chat_id"": 1, ""from_me"": false, ""text"": ""How about 2 PM?"", ""timestamp"": ""14-05-2024 18:06""}"
messages #7,"{""chat_id"": 3, ""from_me"": false, ""text"": ""Who is bringing the cake for the party?"", ""timestamp"": ""14-05-2024 22:13""}"
messages #8,"{""chat_id"": 3, ""from_me"": true, ""text"": ""I can pick it up on my way home."", ""timestamp"": ""14-05-2024 23:03""}"
messages #9,"{""chat_id"": 3, ""from_me"": false, ""text"": ""Thanks! Make sure it is chocolate."", ""timestamp"": ""14-05-2024 23:11""}"
contacts,2 records
contacts #1,"{""name"": ""5551234567"", ""phone"": ""5551234567"", ""jid"": ""5551234567@s.whatsapp.net"", ""status"": """"}"
contacts #2,"{""name"": ""5559876543"", ""phone"": ""5559876543"", ""jid"": ""5559876543@s.whatsapp.net"", ""status"": """"}"


END OF FORENSIC REPORT
